model,noise,type,PSNR,MSE
admm_tv,gau10,denoised,30.5,0.0008865264313566028
admm_tv,gau10,original,29.0,0.0012469592464436755
admm_tv,gau10,denoised,30.6,0.0008742734205014429
admm_tv,gau10,original,29.1,0.0012398262206843524
admm_tv,gau10,denoised,30.6,0.000862418670758602
admm_tv,gau10,original,29.2,0.001204339484813533
admm_tv,gau10,denoised,30.8,0.0008319242510065577
admm_tv,gau10,original,29.3,0.0011826493656286042
admm_tv,gau10,denoised,31.0,0.0008034490022120772
admm_tv,gau10,original,29.3,0.0011685540176855054
admm_tv,gau10,denoised,31.1,0.0007830882248317479
admm_tv,gau10,original,29.4,0.0011614232987312571
admm_tv,gau10,denoised,31.1,0.0007680501025105332
admm_tv,gau10,original,29.5,0.0011163210303729335
admm_tv,gau10,denoised,31.3,0.0007422916327492594
admm_tv,gau10,original,29.2,0.0012030165321030373
admm_tv,gau10,denoised,31.2,0.000766651027345695
admm_tv,gau10,original,29.6,0.0010881983852364476
admm_tv,gau10,denoised,31.4,0.0007184069403028925
admm_tv,gau10,original,29.1,0.0012287500961168784
admm_tv,gau10,denoised,31.0,0.0007949328477023372
admm_tv,gau10,original,29.0,0.0012480149942329874
admm_tv,gau10,denoised,30.9,0.0008177871415205622
admm_tv,gau10,original,29.0,0.0012686774317570164
admm_tv,gau10,denoised,30.7,0.0008536512175577911
admm_tv,gau10,original,29.0,0.0012458931180315265
admm_tv,gau10,denoised,30.7,0.0008515926242477732
admm_tv,gau10,original,29.0,0.0012716874279123413
admm_tv,gau10,denoised,30.7,0.0008545338052408898
admm_tv,gau10,original,29.0,0.001270689350249904
admm_tv,gau10,denoised,30.6,0.0008676646107722991
admm_tv,gau10,original,28.9,0.0012858777393310267
admm_tv,gau10,denoised,30.5,0.0008998098152154502
admm_tv,gau50,original,15.7,0.02670192579777009
admm_tv,gau50,denoised,26.2,0.002421559166689801
admm_tv,gau50,original,15.6,0.027674153402537486
admm_tv,gau50,denoised,26.1,0.002448724072137566
admm_tv,gau50,original,15.6,0.027827143406382163
admm_tv,gau50,denoised,26.1,0.0024754492313378692
admm_tv,gau50,original,15.6,0.0276740276816609
admm_tv,gau50,denoised,26.1,0.0024654211856779155
admm_tv,gau50,original,15.6,0.02731302306805075
admm_tv,gau50,denoised,26.1,0.002457639842433647
admm_tv,gau50,original,15.7,0.027050769319492504
admm_tv,gau50,denoised,26.1,0.002440975208312484
admm_tv,gau50,original,15.7,0.02692788888888889
admm_tv,gau50,denoised,26.1,0.002427126988950539
admm_tv,gau50,original,15.7,0.026701264129181085
admm_tv,gau50,denoised,26.2,0.002402799001232803
admm_tv,gau50,original,15.8,0.026188327566320647
admm_tv,gau50,denoised,26.2,0.0023953615932898677
admm_tv,gau50,original,15.9,0.025449224144559787
admm_tv,gau50,denoised,26.2,0.0023946903641078685
admm_tv,gau50,original,16.1,0.024819249903883126
admm_tv,gau50,denoised,26.3,0.002348517289774944
