model,noise,type,PSNR,MSE
AE,gau10,denoised,29.3596203,0.001158879
AE,gau10,original,28.94913027,0.001273758
AE,gau10,denoised,29.85784976,0.001033273
AE,gau10,original,28.9273995,0.001280148
AE,gau10,denoised,29.24276076,0.001190485
AE,gau10,original,28.88738404,0.001291997
AE,gau10,denoised,28.44003595,0.001432176
AE,gau50,original,15.73786357,0.026681709
AE,gau50,denoised,25.73668184,0.002668897
AE,gau50,original,15.58098268,0.027663156
AE,gau50,denoised,27.25238028,0.001882617
AE,gau50,original,15.55872148,0.027805317
AE,gau50,denoised,27.01428305,0.001988711
AE,gau50,original,15.5829274,0.027650772
AE,gau50,denoised,27.2152537,0.00189878
AE,gau50,original,15.6399947,0.027289811
AE,gau50,denoised,27.53117673,0.001765559
AE,gau50,original,15.68125858,0.027031749
AE,gau50,denoised,28.06978428,0.00155963
AE,gau50,original,15.69945466,0.026918728
AE,gau50,denoised,28.54261395,0.001398745
AE,gau50,original,15.73956309,0.02667127
AE,gau50,denoised,28.4133114,0.001441016
AE,gau50,original,15.82252681,0.026166601
AE,gau50,denoised,28.89313135,0.001290289
AE,gau50,original,15.94724872,0.025425829
AE,gau50,denoised,29.22831239,0.001194452
AE,gau50,original,16.05744024,0.024788827
AE,gau50,denoised,29.47899494,0.001127458
AE,gau50,original,15.7371459,0.026686118
AE,gau50,denoised,26.17910756,0.002410401
AE,gau50,original,16.10471594,0.024520448
AE,gau50,denoised,30.12590632,0.000971425
AE,gau50,original,15.66592851,0.027127336
AE,gau50,denoised,26.40604793,0.00228768
AE,gau50,original,15.63274007,0.027335435
AE,gau50,denoised,26.63289828,0.002171252
AE,gau50,original,15.59229157,0.027591216
AE,gau50,denoised,27.72861237,0.001687092
AE,gau50,original,15.45714815,0.028463296
AE,gau50,denoised,28.08616693,0.001553758
AE,gau50,original,15.5021665,0.028169773
AE,gau50,denoised,28.55553092,0.001394591
AE,gau50,original,15.49618792,0.028208579
AE,gau50,denoised,27.69183204,0.001701441
AE,gau50,original,15.50389753,0.028158547
AE,gau50,denoised,27.28017596,0.001870606
AE,gau50,original,15.42218082,0.028693394
AE,gau50,denoised,26.50441333,0.002236447
AE,gau50,original,15.400787,0.028835089
AE,gau50,denoised,29.95250862,0.001010995
AE,gau50,original,15.38303834,0.028953173
AE,gau50,denoised,30.1037966,0.000976383
AE,gau50,original,15.45498717,0.028477462
AE,gau50,denoised,29.81918326,0.001042513
AE,gau50,original,15.41176217,0.028762311
AE,gau50,denoised,29.14218943,0.001218375
AE,gau50,original,15.50104715,0.028177035
AE,gau50,denoised,29.3330082,0.001166002
AE,gau50,original,15.51149509,0.02810933
AE,gau50,denoised,30.10116344,0.000976975
AE,gau50,original,15.49935075,0.028188043
AE,gau50,denoised,30.84141544,0.00082387
AE,gau50,original,15.62429898,0.027388617
AE,gau50,denoised,31.29700368,0.000741822
AE,gau50,original,15.5797586,0.027670954
AE,gau50,denoised,31.33092703,0.00073605
AE,gau50,original,15.67482654,0.027071813
AE,gau50,denoised,31.65458644,0.00068319
AE,gau50,original,15.44361002,0.028552162
AE,gau50,denoised,25.93013206,0.002552624
AE,gau50,original,15.83076141,0.026117034
AE,gau50,denoised,31.63280869,0.000686624
AE,gau50,original,15.45112894,0.028502772
AE,gau50,denoised,26.23731015,0.002378313
AE,gau50,original,15.56864339,0.027741865
AE,gau50,denoised,25.93682901,0.00254869
AE,gau50,original,15.48275278,0.028295979
AE,gau50,denoised,26.26079448,0.002365487
AE,gau50,original,15.42698255,0.028661687
AE,gau50,denoised,27.88305077,0.001628152
AE,gau50,original,15.35507723,0.029140183
AE,gau50,denoised,28.50372477,0.001411327
AE,gau50,original,15.37160935,0.029029467
AE,gau50,denoised,28.97988707,0.001264769
AE,gau50,original,15.46791816,0.028392797
AE,gau50,denoised,29.30808207,0.001172713
AE,gau50,original,15.60416824,0.027515865
AE,gau50,denoised,25.24353483,0.00298983
AE,gau50,original,15.56320564,0.027776622
AE,gau50,denoised,28.89540733,0.001289613
AE,gau50,original,15.47770082,0.028328914
AE,gau50,denoised,28.94804744,0.001274076
AE,gau50,original,15.62854866,0.02736183
AE,gau50,denoised,30.56407015,0.000878199
AE,gau50,original,15.63972567,0.027291502
AE,gau50,denoised,30.88033763,0.000816519
AE,gau50,original,15.57264496,0.027716316
