model,noise,type,PSNR,MSE
DnCNN,gau50,original,15.5829274,0.027650772
DnCNN,gau50,denoised,28.18713142,0.001518053
DnCNN,gau50,original,15.6399947,0.027289811
DnCNN,gau50,denoised,28.51837991,0.001406572
DnCNN,gau50,original,15.68125858,0.027031749
DnCNN,gau50,denoised,28.41364235,0.001440906
DnCNN,gau50,original,15.69945466,0.026918728
DnCNN,gau50,denoised,28.32466612,0.001470731
DnCNN,gau50,original,15.73956309,0.02667127
DnCNN,gau50,denoised,28.41548681,0.001440295
DnCNN,gau50,original,15.82252681,0.026166601
DnCNN,gau50,denoised,28.22953984,0.001503301
DnCNN,gau50,original,15.94724872,0.025425829
DnCNN,gau50,denoised,28.70276036,0.001348106
DnCNN,gau50,original,16.05744024,0.024788827
DnCNN,gau50,denoised,28.70309236,0.001348003
DnCNN,gau50,original,15.7371459,0.026686118
DnCNN,gau50,denoised,26.77570209,0.002101018
DnCNN,gau50,original,16.10471594,0.024520448
DnCNN,gau50,denoised,29.07629717,0.001237002
DnCNN,gau50,original,15.66592851,0.027127336
DnCNN,gau50,denoised,27.11670038,0.001942361
DnCNN,gau50,original,15.63274007,0.027335435
DnCNN,gau50,denoised,27.03676373,0.001978443
DnCNN,gau50,original,15.59229157,0.027591216
DnCNN,gau50,denoised,27.76569806,0.001672747
DnCNN,gau50,original,15.45714815,0.028463296
DnCNN,gau50,denoised,27.55155917,0.001757293
DnCNN,gau50,original,15.5021665,0.028169773
DnCNN,gau50,denoised,27.65292186,0.001716753
DnCNN,gau50,original,15.49618792,0.028208579
DnCNN,gau50,denoised,27.02067157,0.001985788
DnCNN,gau50,original,15.50389753,0.028158547
DnCNN,gau50,denoised,27.09942988,0.001950101
DnCNN,gau50,original,15.42218082,0.028693394
DnCNN,gau50,denoised,27.0110101,0.00199021
DnCNN,gau50,original,15.400787,0.028835089
DnCNN,gau50,denoised,28.38763154,0.001449562
DnCNN,gau50,original,15.38303834,0.028953173
DnCNN,gau50,denoised,28.51977858,0.001406119
DnCNN,gau50,original,15.45498717,0.028477462
DnCNN,gau50,denoised,28.37499167,0.001453787
DnCNN,gau50,original,15.41176217,0.028762311
DnCNN,gau50,denoised,28.17950159,0.001520722
DnCNN,gau50,original,15.50104715,0.028177035
DnCNN,gau50,denoised,28.60177266,0.001379821
DnCNN,gau50,original,15.51149509,0.02810933
DnCNN,gau50,denoised,28.84821105,0.001303704
DnCNN,gau50,original,15.49935075,0.028188043
DnCNN,gau50,denoised,28.83176844,0.001308649
DnCNN,gau50,original,15.62429898,0.027388617
DnCNN,gau50,denoised,29.19948885,0.001202406
DnCNN,gau50,original,15.5797586,0.027670954
DnCNN,gau50,denoised,28.95099451,0.001273211
DnCNN,gau50,original,15.67482654,0.027071813
DnCNN,gau50,denoised,28.8628169,0.001299327
DnCNN,gau50,original,15.44361002,0.028552162
DnCNN,gau50,denoised,26.80186054,0.002088401
DnCNN,gau50,original,15.83076141,0.026117034
DnCNN,gau50,denoised,28.53076148,0.001402568
DnCNN,gau50,original,15.45112894,0.028502772
DnCNN,gau50,denoised,26.77440813,0.002101644
DnCNN,gau50,original,15.56864339,0.027741865
DnCNN,gau50,denoised,26.2817173,0.002354118
DnCNN,gau50,original,15.48275278,0.028295979
DnCNN,gau50,denoised,26.89094385,0.002046
DnCNN,gau50,original,15.42698255,0.028661687
DnCNN,gau50,denoised,27.15855236,0.001923733
DnCNN,gau50,original,15.35507723,0.029140183
DnCNN,gau50,denoised,27.91223421,0.001617248
DnCNN,gau50,original,15.37160935,0.029029467
DnCNN,gau50,denoised,27.71780133,0.001691297
DnCNN,gau50,original,15.46791816,0.028392797
DnCNN,gau50,denoised,28.24509145,0.001497928
DnCNN,gau50,original,15.60416824,0.027515865
DnCNN,gau50,denoised,26.56568131,0.002205118
DnCNN,gau50,original,15.56320564,0.027776622
DnCNN,gau50,denoised,27.95570797,0.00160114
DnCNN,gau50,original,15.47770082,0.028328914
DnCNN,gau50,denoised,27.89108991,0.001625141
DnCNN,gau50,original,15.62854866,0.02736183
DnCNN,gau50,denoised,27.74710454,0.001679924
DnCNN,gau50,original,15.63972567,0.027291502
DnCNN,gau50,denoised,27.6557766,0.001715625
DnCNN,gau50,original,15.57264496,0.027716316
DnCNN,gau50,denoised,27.48382274,0.001784916
DnCNN,gau50,original,15.62862604,0.027361342
DnCNN,gau50,denoised,27.33452436,0.001847343
DnCNN,gau50,original,15.70291311,0.0268973
DnCNN,gau50,denoised,26.99538175,0.001997385
DnCNN,gau50,original,15.79543519,0.026330341
